Organization,Followed On
Instituto Cactus,Tue Feb 24 16:10:04 UTC 2026
FlowUp,Tue Feb 24 13:03:14 UTC 2026
Popmenu,Tue Feb 24 13:01:44 UTC 2026
Ecommerce Objetivo,Mon Feb 23 19:34:07 UTC 2026
brsa,Mon Feb 23 19:32:19 UTC 2026
LawnStarter,Mon Feb 23 19:29:45 UTC 2026
LaTeam Partners,Mon Feb 23 19:28:33 UTC 2026
Trabalhar com Impacto,Thu Feb 19 18:48:34 UTC 2026
Laboratorio de Educação,Thu Feb 19 18:48:25 UTC 2026
Instituto Sou da Paz,Thu Feb 19 18:48:22 UTC 2026
Open Knowledge Brasil,Thu Feb 19 18:48:07 UTC 2026
Verifica RS,Thu Feb 19 18:48:00 UTC 2026
Not Agency,Tue Feb 10 12:32:03 UTC 2026
Agência Digital Air,Thu Feb 05 15:22:20 UTC 2026
ecoPortal,Thu Feb 05 15:10:56 UTC 2026
Blue Tangerine,Thu Feb 05 15:09:50 UTC 2026
Plataforma Conjunta,Thu Feb 05 01:58:23 UTC 2026
Move Social,Thu Feb 05 01:58:17 UTC 2026
Ciência Suja,Wed Feb 04 12:43:12 UTC 2026
Portal dos Jornalistas,Wed Feb 04 12:41:42 UTC 2026
BIP,Wed Feb 04 00:00:58 UTC 2026
Claude,Tue Feb 03 01:30:47 UTC 2026
Snowflake,Tue Feb 03 01:30:41 UTC 2026
abler,Thu Jan 29 00:01:23 UTC 2026
MBA USP/Esalq,Wed Jan 21 15:26:04 UTC 2026
Aliados de Impacto-NAB Perú,Fri Jan 16 07:36:46 UTC 2026
Idealist.org,Fri Jan 16 07:36:40 UTC 2026
IMPACTO COLOMBIA,Fri Jan 16 07:36:32 UTC 2026
Latimpacto,Fri Jan 16 07:36:00 UTC 2026
Red de Impacto LATAM,Fri Jan 16 07:30:59 UTC 2026
MDASS Performance,Tue Jan 13 12:19:28 UTC 2026
Aurum Brands,Tue Jan 06 12:24:24 UTC 2026
Brascomm,Tue Jan 06 12:19:33 UTC 2026
Programadores Brasil,Wed Dec 31 18:06:45 UTC 2025
Google AI for Developers,Wed Dec 31 12:46:30 UTC 2025
Visual Studio Code,Wed Dec 31 12:46:28 UTC 2025
Apify,Wed Dec 31 12:46:23 UTC 2025
Fundação Fernando Henrique Cardoso,Wed Dec 24 08:33:35 UTC 2025
Fundação ArcelorMittal,Wed Dec 24 08:33:30 UTC 2025
Home Office - Vagas Remotas,Tue Dec 23 16:20:10 UTC 2025
Ratoeira Ads Digital Marketing,Tue Dec 23 16:14:00 UTC 2025
WWF-Brasil,Tue Dec 16 09:09:56 UTC 2025
FUNBIO - Fundo Brasileiro para a Biodiversidade,Tue Dec 16 09:08:47 UTC 2025
IPÊ - Instituto de Pesquisas Ecológicas,Tue Dec 16 09:08:38 UTC 2025
Momentum - Journalism and Tech Task Force,Sun Dec 14 03:47:44 UTC 2025
Instituto Brasileiro de Soberania Digital - IBSD,Mon Nov 24 21:54:53 UTC 2025
V4 Company | JO&Co.,Mon Nov 24 13:30:27 UTC 2025
V4 Company,Mon Nov 24 13:29:21 UTC 2025
Remotivate,Wed Nov 19 12:49:26 UTC 2025
Digital Witch Support Community,Wed Nov 19 12:49:01 UTC 2025
Wisevu,Wed Nov 19 12:48:46 UTC 2025
WPMU DEV,Thu Nov 13 19:02:40 UTC 2025
RD Station,Thu Nov 13 18:58:24 UTC 2025
Plano B Martech,Thu Nov 13 18:55:50 UTC 2025
mood.lab,Wed Nov 12 20:25:56 UTC 2025
Magn,Wed Nov 12 20:21:00 UTC 2025
V4 company,Wed Nov 12 20:19:40 UTC 2025
V4Company,Wed Nov 12 20:17:46 UTC 2025
Remessa Online,Wed Nov 12 20:16:02 UTC 2025
RUNNINGDIGITAL,Wed Nov 12 20:15:07 UTC 2025
Instituto ACP,Tue Nov 11 06:59:14 UTC 2025
Empresa Confidencial,Sun Nov 09 14:38:17 UTC 2025
Syngenta,Sun Nov 09 14:37:53 UTC 2025
MonetizeMore,Sun Nov 09 14:35:34 UTC 2025
Toloka Annotators,Sun Nov 09 14:34:04 UTC 2025
B5 Recruiting,Sun Nov 09 14:32:34 UTC 2025
CI&T,Sun Nov 09 14:31:46 UTC 2025
Hugging Face,Wed Nov 05 16:20:35 UTC 2025
The Events Calendar,Tue Nov 04 20:39:10 UTC 2025
Passabot,Wed Oct 29 22:32:24 UTC 2025
SENT Ventures,Thu Oct 23 23:42:36 UTC 2025
BLACKBOX.AI,Tue Oct 21 14:33:55 UTC 2025
Instituto Socioambiental - ISA,Wed Oct 15 12:56:25 UTC 2025
Alchemy Pay,Mon Oct 13 01:43:33 UTC 2025
Visively,Fri Oct 10 09:13:34 UTC 2025
Google Labs,Mon Oct 06 13:24:24 UTC 2025
Darwin AI,Wed Sep 24 15:16:26 UTC 2025
Haus Performance,Wed Sep 24 15:11:13 UTC 2025
Nosso Meio,Mon Sep 22 23:28:51 UTC 2025
Searchable,Mon Sep 22 20:13:18 UTC 2025
Sent,Wed Sep 17 13:00:29 UTC 2025
Right Hook Digital,Tue Sep 16 07:15:08 UTC 2025
Pereira O'Dell,Tue Sep 16 07:07:24 UTC 2025
ActiveCampaign,Tue Sep 16 07:04:16 UTC 2025
Jusfy,Tue Sep 16 07:01:43 UTC 2025
Roamless,Tue Sep 16 06:58:12 UTC 2025
Coinme,Tue Sep 16 06:53:28 UTC 2025
Metrobi,Tue Sep 16 06:53:20 UTC 2025
Freebird,Tue Sep 16 06:52:37 UTC 2025
RecargaPay,Tue Sep 16 06:50:51 UTC 2025
ElevenLabs,Wed Sep 10 22:54:16 UTC 2025
Palver,Thu Aug 28 14:54:08 UTC 2025
Stape,Wed Aug 27 11:34:21 UTC 2025
Luto Curitiba,Tue Aug 26 17:48:11 UTC 2025
Métricas Boss,Tue Aug 26 11:00:20 UTC 2025
DeepLearning.AI,Fri Aug 01 21:00:54 UTC 2025
RPC,Sun Jul 27 12:59:27 UTC 2025
Grupo Contteudo.,Sun Jul 27 12:59:24 UTC 2025
GitHub,Wed Jul 23 20:20:19 UTC 2025
Supabase,Wed Jul 23 20:20:14 UTC 2025
n8n hackers,Wed Jul 23 20:20:11 UTC 2025
n8n About,Wed Jul 23 20:19:51 UTC 2025
"Adobe Illustrator - Tips, Tricks, & Tutorials",Wed Jul 23 20:19:34 UTC 2025
Adobe,Wed Jul 23 20:19:31 UTC 2025
Cursor,Wed Jul 23 13:47:08 UTC 2025
OpenAI for Business,Wed Jul 23 13:47:08 UTC 2025
n8n,Wed Jul 23 13:47:05 UTC 2025
Doutores da Alegria,Tue Jul 22 19:09:24 UTC 2025
RONIN Studies,Mon Jun 16 20:03:30 UTC 2025
CloserMed,Mon Jun 16 19:58:58 UTC 2025
Resolve Marketing,Tue Jun 10 18:50:10 UTC 2025
Instituto Palavra Aberta,Fri Apr 25 13:38:07 UTC 2025
ABERT - Associação Brasileira de Emissoras de Rádio e Televisão,Fri Apr 25 13:37:59 UTC 2025
Fundação André e Lucia Maggi,Wed Apr 23 14:32:32 UTC 2025
Markifact,Tue Apr 22 14:08:35 UTC 2025
Blue Engine Collaborative,Wed Apr 16 20:15:46 UTC 2025
How to Prompt,Sun Apr 06 18:39:48 UTC 2025
Fundo de Apoio ao Jornalismo,Fri Mar 28 12:22:58 UTC 2025
ZenoX AI,Thu Mar 27 21:15:07 UTC 2025
HOTMILK | Ecossistema de Inovação PUCPR,Wed Mar 19 15:27:47 UTC 2025
Afonte Jornalismo de Dados,Thu Mar 06 19:29:30 UTC 2025
Cursor,Wed Mar 05 20:20:53 UTC 2025
Cursor,Wed Mar 05 20:20:29 UTC 2025
Lovable,Wed Mar 05 20:19:49 UTC 2025
Writesonic,Sun Feb 02 15:04:44 UTC 2025
Transparência Internacional - Brasil,Wed Jan 29 02:12:41 UTC 2025
ChatGPT for Education,Fri Jan 24 20:46:21 UTC 2025
Google for Publishers,Mon Jan 13 15:17:31 UTC 2025
Perplexity,Wed Dec 18 10:53:50 UTC 2024
ANPB,Fri Dec 13 19:34:37 UTC 2024
IBMP,Thu Dec 12 13:44:19 UTC 2024
Periferia em Movimento,Fri Dec 06 17:47:38 UTC 2024
ChatGPT,Wed Oct 16 20:59:08 UTC 2024
Marketing Psychology,Tue Oct 15 20:22:44 UTC 2024
Plan International Brasil,Fri Oct 11 18:44:44 UTC 2024
Instituto Coca-Cola Brasil,Fri Oct 11 13:05:00 UTC 2024
Belterra Agroflorestas,Fri Oct 11 13:04:05 UTC 2024
Schwab Foundation for Social Entrepreneurship,Fri Oct 11 13:03:57 UTC 2024
Maildoso,Sat Oct 05 15:05:24 UTC 2024
Núcleo Jornalismo,Fri Oct 04 16:28:20 UTC 2024
Maternidade nas Empresas,Sat Sep 21 08:04:57 UTC 2024
CoPai | Coalizão Licença Paternidade,Sat Sep 21 08:03:56 UTC 2024
Anthropic,Thu Sep 19 16:38:12 UTC 2024
ANJ - Associação Nacional de Jornais,Wed Sep 18 18:17:11 UTC 2024
Piwik PRO,Sun Sep 15 21:52:24 UTC 2024
Founder Institute,Sat Sep 07 12:13:03 UTC 2024
MyNiver,Sat Sep 07 12:12:54 UTC 2024
"Aleph Group, Inc",Thu Sep 05 14:49:13 UTC 2024
Google Search Central,Thu Aug 22 18:49:47 UTC 2024
Polícia Civil do Estado do Paraná,Wed Aug 14 19:37:14 UTC 2024
Talented Data Nerds,Wed Aug 14 14:02:58 UTC 2024
Cuban Council,Thu Aug 08 17:29:46 UTC 2024
mLabs,Wed Aug 07 14:45:52 UTC 2024
Salesforce,Mon Jul 22 17:26:30 UTC 2024
Simmer,Mon Jul 22 17:26:28 UTC 2024
Digital Forensic Research Lab (DFRLab),Mon Jun 24 11:28:52 UTC 2024
JENTIS,Wed Jun 19 05:37:58 UTC 2024
Data to Value,Tue Jun 18 18:58:48 UTC 2024
ANER - Associação Nacional de Editores de Revistas,Thu May 30 13:42:47 UTC 2024
Google DeepMind,Mon May 20 13:10:15 UTC 2024
Privateer,Fri May 10 17:49:24 UTC 2024
MeasureCamp New York,Thu May 09 20:32:34 UTC 2024
Mundo Negro,Mon Apr 08 19:11:39 UTC 2024
Ponte Jornalismo,Fri Mar 15 18:28:56 UTC 2024
SXSW,Fri Mar 08 17:27:53 UTC 2024
xAI,Thu Mar 07 19:51:36 UTC 2024
Screaming Frog,Wed Mar 06 15:06:06 UTC 2024
Instituto Natura,Tue Jan 23 12:01:34 UTC 2024
Instituto Natura,Thu Jan 16 09:15:53 UTC 2025
Chicas Poderosas,Wed Jan 03 20:29:38 UTC 2024
MindGeek,Tue Dec 26 01:19:24 UTC 2023
Runway,Fri Dec 08 21:40:08 UTC 2023
Gênero e Número,Wed Dec 06 08:44:31 UTC 2023
Instituto Ibirapitanga,Wed Dec 06 08:44:10 UTC 2023
Instituto Serrapilheira,Wed Dec 06 08:44:00 UTC 2023
GenAI Works,Tue Nov 14 17:41:24 UTC 2023
Abrasca,Mon Nov 06 00:21:49 UTC 2023
Brainlabs,Mon Oct 30 10:07:18 UTC 2023
Black Adnetwork,Thu Oct 26 11:19:56 UTC 2023
Zaia,Mon Oct 09 09:06:04 UTC 2023
WRI Brasil,Wed Sep 27 23:35:02 UTC 2023
Sistema Fiep,Tue Sep 05 19:13:58 UTC 2023
Hype Empreendimentos,Tue Sep 05 18:17:18 UTC 2023
Projor - Instituto para o Desenvolvimento do Jornalismo,Sat Aug 19 23:54:34 UTC 2023
AnalyticsPro,Thu Aug 10 11:12:44 UTC 2023
E-Commerce Brasil,Thu Jul 27 12:51:43 UTC 2023
ABCR,Mon Jul 03 16:45:30 UTC 2023
OpenAI,Wed Jun 14 11:15:28 UTC 2023
Institute for Nonprofit News,Wed Jun 14 11:15:10 UTC 2023
RTB House,Tue May 09 14:37:17 UTC 2023
Nhaí!,Tue Mar 14 16:23:29 UTC 2023
Instituto JNG - Vida Adulta Independente,Tue Mar 14 16:23:22 UTC 2023
Inclusi,Tue Mar 14 16:23:14 UTC 2023
Arquitetura na Periferia,Tue Mar 14 16:23:04 UTC 2023
Google Marketing Platform,Fri Mar 10 15:46:56 UTC 2023
Instituto AzMina,Mon Feb 27 13:10:15 UTC 2023
Dentsu Creative,Fri Feb 24 16:37:53 UTC 2023
ChatGPT & AI News,Fri Jan 13 15:40:02 UTC 2023
Agência Eco Nordeste,Thu Jan 12 11:51:59 UTC 2023
Addi,Fri Nov 18 15:18:01 UTC 2022
Dash Social,Mon Oct 31 21:41:06 UTC 2022
Sprinklr,Mon Oct 31 21:40:58 UTC 2022
Later,Mon Oct 31 21:40:52 UTC 2022
ABRIG - Associação Brasileira de Relações Institucionais e Governamentais,Mon Oct 10 16:58:33 UTC 2022
Moz,Thu Oct 06 09:45:37 UTC 2022
Google Small Business,Thu Oct 06 09:45:32 UTC 2022
PrograMaria,Sun Sep 25 17:27:11 UTC 2022
Instituto Brasileiro de Sustentabilidade - INBS,Sun Sep 25 17:26:35 UTC 2022
Google Ads Manager,Mon Sep 19 09:51:49 UTC 2022
Notion,Thu Sep 15 16:56:46 UTC 2022
Ahrefs,Mon Sep 12 22:50:32 UTC 2022
Pixability,Fri Sep 02 16:36:29 UTC 2022
News Product Alliance,Mon Aug 22 05:10:58 UTC 2022
Agência Mural de Jornalismo das Periferias,Mon Aug 22 05:08:19 UTC 2022
Intuit Mailchimp,Sat Aug 20 17:41:04 UTC 2022
MarketingProfs,Sat Aug 20 17:41:02 UTC 2022
Search Engine Journal,Sat Aug 20 17:40:56 UTC 2022
Conselho Empresarial Brasil-China (CEBC),Wed Aug 17 13:25:55 UTC 2022
Echos Desirable Futures Lab,Wed Aug 17 13:25:17 UTC 2022
JOTA,Wed Aug 10 11:02:38 UTC 2022
ENVOX Marketing Digital,Tue Aug 09 19:19:13 UTC 2022
PM3,Fri Aug 05 15:21:47 UTC 2022
TechSoup Brasil,Thu Jul 07 14:51:49 UTC 2022
Instituto Phomenta,Thu Jul 07 14:51:34 UTC 2022
Observatório do Terceiro Setor,Thu Jul 07 14:51:30 UTC 2022
Hub Social,Thu Jul 07 14:51:27 UTC 2022
Movimento por uma Cultura de Doação,Thu Jul 07 14:51:22 UTC 2022
Movimento Bem Maior,Thu Jul 07 14:51:19 UTC 2022
Movimento Arredondar,Thu Jul 07 14:51:16 UTC 2022
ASID Brasil,Thu Jul 07 14:50:57 UTC 2022
ONG Parceiros Voluntários,Wed Jun 22 16:14:09 UTC 2022
Layoffs Brasil,Wed Jun 22 12:34:39 UTC 2022
Cercle,Fri Jun 10 15:06:21 UTC 2022
PHP,Fri Jun 10 15:02:58 UTC 2022
Mart RH,Fri Jun 03 14:03:17 UTC 2022
Robert Half,Sun Apr 17 20:45:31 UTC 2022
Google News Initiative,Wed Feb 23 01:38:51 UTC 2022
Associação de Jornalismo Digital - Ajor,Tue Feb 15 09:57:09 UTC 2022
Porvir,Mon Feb 14 17:37:36 UTC 2022
Instituto New Law,Tue Feb 08 13:42:16 UTC 2022
Comprova,Fri Apr 25 13:38:47 UTC 2025
MTE,Fri Nov 19 07:44:33 UTC 2021
Roon Labs,Mon Nov 15 23:24:44 UTC 2021
Fórum de Integração Brasil Europa,Fri Nov 12 20:20:31 UTC 2021
Feels Like,Tue Oct 26 15:12:39 UTC 2021
Linka,Mon Oct 25 14:33:41 UTC 2021
Digital House Brasil,Wed Oct 13 14:46:40 UTC 2021
Inter,Fri Aug 27 19:30:37 UTC 2021
Pontifícia Universidade Católica do Paraná,Fri Jul 16 07:36:07 UTC 2021
Publicis Sapient,Mon Sep 22 16:00:26 UTC 2025
Razorfish,Tue Apr 20 22:39:31 UTC 2021
Juno,Tue Apr 20 18:41:07 UTC 2021
"Sprout Social, Inc.",Tue Feb 09 03:20:21 UTC 2021
HubSpot,Tue Feb 09 03:20:17 UTC 2021
Search Engine Land,Tue Feb 09 03:20:14 UTC 2021
Linker,Fri Jan 08 16:28:56 UTC 2021
Google Analytics,Thu Oct 22 20:17:45 UTC 2020
Twilio,Mon Sep 28 15:15:35 UTC 2020
Slack,Mon Sep 28 15:15:22 UTC 2020
Semrush,Mon Sep 28 15:15:18 UTC 2020
Yoast,Mon Sep 28 15:15:15 UTC 2020
Nubank,Mon Sep 28 15:15:13 UTC 2020
WordPress.com,Mon Sep 28 15:14:56 UTC 2020
IKEA,Wed Sep 02 17:08:02 UTC 2020
Shopfully,Mon Apr 13 18:57:11 UTC 2020
WooCommerce,Wed Mar 04 15:41:49 UTC 2020
WordPress,Wed Mar 04 15:41:26 UTC 2020
Divi Template,Wed Mar 04 15:41:24 UTC 2020
Elegant Themes,Wed Mar 04 15:41:22 UTC 2020
Troco Simples,Thu Feb 13 00:13:56 UTC 2020
Crossover,Tue Feb 11 20:50:20 UTC 2020
GROWROOM BRASIL,Tue Jan 14 16:48:09 UTC 2020
AppsFlyer,Tue Jan 14 16:34:56 UTC 2020
Tela,Thu Jan 09 20:34:55 UTC 2020
Mosaico,Tue Nov 05 11:48:49 UTC 2019
Zoom.com.br,Thu Oct 24 10:00:13 UTC 2019
Pipedrive,Wed Oct 16 01:14:07 UTC 2019
Google Ad Manager,Wed Aug 21 00:47:53 UTC 2019
Junto Seguros,Fri Aug 09 14:16:16 UTC 2019
20th Century Studios,Mon Jul 29 21:08:09 UTC 2019
Paraná Banco S/A,Fri Jul 12 10:42:34 UTC 2019
Bip Carros,Fri Jul 12 10:38:47 UTC 2019
GRPCOM | Grupo Paranaense de Comunicação,Thu Jul 11 14:40:26 UTC 2019
Google Ads,Wed Jun 26 15:19:42 UTC 2019
Doctoralia Brasil,Mon Jun 24 21:48:53 UTC 2019
Campion Willcocks,Fri Jun 07 12:06:14 UTC 2019
Tyton Consulting,Mon May 27 19:34:59 UTC 2019
Qi Network - Google Cloud Premier Partner,Fri May 24 14:21:44 UTC 2019
Diageo,Mon May 20 19:58:05 UTC 2019
Glassdoor Brasil,Wed Mar 27 23:02:38 UTC 2019
Soundiiz,Tue Oct 09 20:04:22 UTC 2018
Grupo Madero,Wed Oct 03 16:51:04 UTC 2018
Polvo Comunicação e Tecnologia,Wed Aug 15 19:08:21 UTC 2018
Movimento Web Para Todos,Thu Jul 19 19:39:43 UTC 2018
BLUEFOOT Digital Business Agency,Fri Jul 13 14:23:59 UTC 2018
Inter IKEA Group,Wed Jun 13 19:26:06 UTC 2018
Unidas Frotas,Wed May 09 17:53:52 UTC 2018
OpenIDEO,Tue May 08 22:01:54 UTC 2018
Heads Propaganda,Sat Mar 17 15:24:30 UTC 2018
Branco,Tue Feb 27 21:32:55 UTC 2018
Daju,Wed Feb 21 13:17:22 UTC 2018
Cálculo Jurídico,Mon Feb 19 10:59:08 UTC 2018
deBernt,Thu Feb 15 21:07:26 UTC 2018
iProspect,Wed Jan 31 14:01:39 UTC 2018
Gazeta do Povo,Wed Jan 31 14:00:46 UTC 2018
Cheddar,Sat Jan 20 01:10:17 UTC 2018
Trakstar Hire (formerly Recruiterbox),Wed Jan 10 18:47:30 UTC 2018
Grupo Baumgart,Tue Nov 14 18:07:14 UTC 2017
Horizons Telecom,Wed Oct 18 18:48:50 UTC 2017
Adobe Acrobat,Mon Sep 18 19:08:04 UTC 2017
Great Place To Work® Brasil,Tue Aug 15 16:05:09 UTC 2017
Pipefy,Tue Jul 25 18:06:27 UTC 2017
CBIPA 中巴互联网促进会 China Brazil Internet Promotion Agency,Fri Jul 14 17:49:06 UTC 2017
Teads,Tue Jul 11 22:50:01 UTC 2017
Tail,Tue Jul 11 22:49:50 UTC 2017
Navegg,Tue Jul 11 22:49:43 UTC 2017
Retargetly,Tue Jul 11 22:49:28 UTC 2017
Appen Global,Wed Jun 28 11:21:11 UTC 2017
Tinder,Mon Jun 26 18:58:05 UTC 2017
AdoroCinema,Mon Jun 12 17:22:56 UTC 2017
DP6,Mon Jun 12 12:42:31 UTC 2017
Meio&Mensagem,Fri Jun 09 10:56:59 UTC 2017
Avianca Brasil,Tue Jun 06 16:25:27 UTC 2017
Nestlé Nespresso SA,Thu Jun 01 20:08:55 UTC 2017
Waze Ads,Wed May 24 16:03:26 UTC 2017
Hands Mobile,Wed Apr 19 14:27:31 UTC 2017
Gazit Brasil,Mon Feb 06 23:34:05 UTC 2017
Cabify,Mon Jan 09 23:38:27 UTC 2017
Skai,Mon Dec 05 23:11:26 UTC 2016
"Fox (Film, TV and Sports)",Mon Oct 31 16:31:54 UTC 2016
InfoMoney,Fri Oct 28 01:02:44 UTC 2016
Flapper,Thu Oct 27 07:42:20 UTC 2016
Sage,Mon Sep 26 22:06:56 UTC 2016
Universidade Tuiuti do Paraná - UTP,Fri Sep 09 09:26:27 UTC 2016
Universidade Tecnológica Federal do Paraná,Mon Sep 05 06:50:56 UTC 2016
Bloomin' Brands Brasil,Mon Aug 29 20:30:32 UTC 2016
DoubleClick,Wed Aug 10 12:37:37 UTC 2016
Predicta,Thu Aug 04 00:06:30 UTC 2016
Avon,Wed Aug 03 16:43:26 UTC 2016
BDF NIVEA BRASIL,Wed Aug 03 16:41:04 UTC 2016
EXAME,Wed Jul 27 17:40:21 UTC 2016
UNDER ARMOUR BRASIL,Thu Dec 17 18:39:19 UTC 2015
Webtrends,Fri Sep 18 16:57:24 UTC 2015
VTEX,Wed Aug 26 11:51:29 UTC 2015
Carlo's Bakery,Sat Jul 04 01:21:42 UTC 2015
SOFTEX,Thu Jul 02 14:46:27 UTC 2015
Primeira Igreja Batista de Curitiba,Wed Jun 10 12:41:31 UTC 2015
The Ad Professor,Thu May 28 18:23:23 UTC 2015
Aleph LATAM,Tue May 05 19:50:34 UTC 2015
Buscapé Company,Mon May 04 20:18:39 UTC 2015
Talent,Thu Apr 23 18:49:23 UTC 2015
55social,Mon Mar 30 13:15:48 UTC 2015
Mobils AdSolutions,Mon Mar 30 13:15:42 UTC 2015
The Aubergine Panda,Wed Mar 18 20:09:56 UTC 2015
Adglow,Wed Jan 07 17:26:53 UTC 2015
Coritiba SAF,Fri Dec 05 00:22:44 UTC 2014
United States Department of War,Mon Nov 10 05:17:08 UTC 2014
US Navy,Mon Nov 10 05:17:01 UTC 2014
Twitter,Wed Oct 15 22:07:12 UTC 2014
THOMPSON,Wed Oct 15 22:07:04 UTC 2014
Liquid Data Intelligence,Mon Oct 13 00:17:42 UTC 2014
Rubicon Project,Tue Sep 30 21:18:42 UTC 2014
WMcCann,Tue Sep 30 18:47:30 UTC 2014
Publicis Brasil,Tue Sep 30 18:46:11 UTC 2014
Pontomobi Linked by Isobar,Tue Aug 08 15:12:21 UTC 2017
aunica Interactive Marketing,Tue Sep 30 18:44:30 UTC 2014
Moovit,Fri Sep 12 17:29:32 UTC 2014
Columbus Blue Jackets,Thu Jul 31 17:05:55 UTC 2014
Netway sa,Thu Jul 24 14:02:27 UTC 2014
Alibaba.com,Thu Jul 10 12:39:59 UTC 2014
LinkedIn for Marketing,Tue Jul 01 20:48:52 UTC 2014
Hootsuite,Tue Jul 01 17:46:45 UTC 2014
Intivation,Tue Jul 01 15:19:44 UTC 2014
ESPN,Mon Jun 30 15:53:07 UTC 2014
Green Bay Packers,Mon Jun 30 02:53:55 UTC 2014
Houston Texans,Mon Jun 30 02:53:52 UTC 2014
Las Vegas Raiders,Mon Jun 30 02:53:45 UTC 2014
Seattle Seahawks,Mon Jun 30 02:53:42 UTC 2014
Canadian Football League,Mon Jun 30 02:53:32 UTC 2014
Arena Football League,Mon Jun 30 02:53:28 UTC 2014
Athletics,Mon Jun 30 02:51:59 UTC 2014
Tampa Bay Rays,Mon Jun 30 02:51:05 UTC 2014
Philadelphia Eagles,Mon Jun 30 02:48:41 UTC 2014
Atlanta Falcons,Mon Jun 30 02:48:39 UTC 2014
Philadelphia Phillies,Mon Jun 30 02:48:06 UTC 2014
Boston Bruins,Mon Jun 30 02:47:54 UTC 2014
Los Angeles Chargers,Mon Jun 30 02:44:12 UTC 2014
National Football League (NFL),Mon Jun 30 02:44:07 UTC 2014
San Francisco 49ers,Mon Jun 30 02:44:05 UTC 2014
Baltimore Ravens,Mon Jun 30 02:44:03 UTC 2014
Chicago Cubs,Mon Jun 30 02:43:59 UTC 2014
Toronto Blue Jays,Mon Jun 30 02:43:55 UTC 2014
Miami Marlins and loanDepot park,Mon Jun 30 02:43:53 UTC 2014
USA Baseball,Mon Jun 30 02:43:49 UTC 2014
Milwaukee Brewers,Mon Jun 30 02:43:44 UTC 2014
Pittsburgh Pirates,Mon Jun 30 02:43:40 UTC 2014
Cincinnati Reds,Mon Jun 30 02:43:38 UTC 2014
Boston Red Sox,Mon Jun 30 02:43:37 UTC 2014
New York Yankees,Mon Jun 30 02:43:34 UTC 2014
San Diego Padres,Mon Jun 30 02:43:33 UTC 2014
Atlanta Braves,Mon Jun 30 02:43:29 UTC 2014
Detroit Tigers,Mon Jun 30 02:43:28 UTC 2014
Texas Rangers Baseball Club,Mon Jun 30 02:43:26 UTC 2014
New York Mets,Mon Jun 30 02:43:19 UTC 2014
Washington Capitals,Mon Jun 30 02:43:17 UTC 2014
Washington Commanders,Mon Jun 30 02:43:14 UTC 2014
Spotify Advertising,Tue May 20 01:41:46 UTC 2014
Acompli,Sun Apr 27 23:32:08 UTC 2014
AlphaSights,Fri Apr 25 10:47:55 UTC 2014
Washington Nationals,Mon Apr 07 02:13:00 UTC 2014
NFL Players Association,Mon Apr 07 02:12:56 UTC 2014
Major League Baseball (MLB),Mon Apr 07 02:12:52 UTC 2014
Columbia Sportswear Company,Mon Apr 07 02:12:46 UTC 2014
Chelsea Football Club,Mon Apr 07 02:12:40 UTC 2014
Carolina Panthers,Mon Apr 07 02:12:38 UTC 2014
Arizona Diamondbacks,Mon Apr 07 02:12:36 UTC 2014
Baltimore Orioles,Mon Apr 07 02:10:40 UTC 2014
San Francisco Giants,Mon Apr 07 02:10:27 UTC 2014
Los Angeles Dodgers,Mon Apr 07 02:10:07 UTC 2014
Think with Google,Mon Mar 24 21:06:53 UTC 2014
MBRF,Tue Jan 21 14:58:21 UTC 2014
Monster Energy,Tue Nov 19 22:21:56 UTC 2013
OpenX,Tue Nov 12 20:05:27 UTC 2013
Cervecería y Maltería Quilmes,Sat Nov 09 23:28:53 UTC 2013
Samsung Electronics,Thu Oct 24 09:46:59 UTC 2013
DaVinci Marketing Cloud,Sun Sep 22 21:11:20 UTC 2013
Spotify,Tue Sep 17 12:22:45 UTC 2013
The North Face,Tue Aug 27 00:51:16 UTC 2013
Meta,Sun Aug 18 15:07:56 UTC 2013
Google,Tue Aug 13 20:56:00 UTC 2013
iCAN-Global,Wed Jul 17 21:03:44 UTC 2013
Hays,Tue May 07 22:19:55 UTC 2013
LinkedIn,Mon Apr 22 11:45:26 UTC 2013
Amcham-Brasil,Sat Feb 02 13:31:59 UTC 2013
Carbon Fuzz Mobile Delivery,Mon Oct 08 22:21:45 UTC 2012
"2Advanced Studios, LLC",Wed Aug 15 17:34:05 UTC 2012
HCL Unica,Wed Aug 03 20:58:17 UTC 2011
Sebrae,Wed Aug 03 20:57:57 UTC 2011
GPA Malls,Wed Aug 03 20:57:25 UTC 2011
GPA,Wed Aug 03 20:57:32 UTC 2011
Ad Rock Digital Mkt,Tue Jan 07 18:47:08 UTC 2014
Apple,Wed Aug 03 20:57:10 UTC 2011
SapientRazorfish,Wed Aug 03 20:57:49 UTC 2011